f_expression,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,best_rk_method
t*y,0.0,0.0001020304050607081,0.0004081216202428324,0.0009182736455463729,0.0016324864809713297,0.002550760126517703,0.0036730945821854917,0.0049994898479746985,0.006529945923885319,0.008264462809917356,0.010203040506070812,0.01234567901234568,0.014692378328741967,0.017243138455259672,0.019997959391898794,0.022956841138659322,0.026119783695541274,0.029486787062544647,0.03305785123966942,0.03683297622691563,0.04081216202428325,0.044995408631772274,0.04938271604938272,0.053974084277114594,0.05876951331496787,0.06376900316294257,0.06897255382103869,0.07438016528925621,0.07999183756759518,0.0858075706560555,0.09182736455463729,0.09805121926334048,0.1044791347821651,0.11111111111111113,0.11794714825017859,0.12498724619936745,0.1322314049586777,0.1396796245281094,0.14733190490766251,0.15518824609733703,0.163248648097133,0.17151311090705035,0.1799816345270891,0.1886542189572493,0.19753086419753088,0.20661157024793392,0.21589633710845837,0.22538516477910422,0.23507805325987147,0.24497500255076016,0.25507601265177027,0.26538108356290185,0.27589021528415475,0.286603407815529,0.29752066115702486,0.308641975308642,0.3199673502703807,0.33149678604224064,0.343230282624222,0.35516784001632495,0.36730945821854916,0.3796551372308949,0.39220487705336193,0.40495867768595056,0.4179165391286604,0.4310784613814917,0.44444444444444453,0.4580144883175187,0.47178859300071435,0.4857667584940313,0.4999489847974698,0.5143352719110296,0.5289256198347108,0.5437200285685135,0.5587184981124376,0.5739210284664832,0.5893276196306501,0.6049382716049383,0.6207529843893481,0.6367717579838792,0.652994592388532,0.6694214876033059,0.6860524436282014,0.7028874604632181,0.7199265381083564,0.7371696765636161,0.7546168758289972,0.7722681359044997,0.7901234567901235,0.808182838485869,0.8264462809917357,0.8449137843077238,0.8635853484338335,0.8824609733700643,0.9015406591164169,0.9208244056728907,0.9403122130394859,0.9600040812162026,0.9799000102030406,1.0,HEUN
-2*y + t**2,0.0,-0.020099989796959497,-0.039995918783797574,-0.05968778696051424,-0.07917559432710948,-0.09845934088358332,-0.11753902662993572,-0.13641465156616675,-0.15508621569227632,-0.17355371900826447,-0.19181716151413122,-0.20987654320987656,-0.22773186409550047,-0.24538312417100297,-0.2628303234363841,-0.2800734618916437,-0.29711253953678196,-0.31394755637179883,-0.3305785123966942,-0.34700540761146825,-0.36322824201612086,-0.379247015610652,-0.39506172839506176,-0.4106723803693501,-0.426078971533517,-0.44128150188756254,-0.45627997143148663,-0.4710743801652893,-0.48566472808897054,-0.5000510152025304,-0.5142332415059688,-0.5282114069992858,-0.5419855116824814,-0.5555555555555556,-0.5689215386185084,-0.5820834608713398,-0.5950413223140496,-0.6077951229466381,-0.6203448627691053,-0.6326905417814509,-0.6448321599836752,-0.656769717375778,-0.6685032139577594,-0.6800326497296194,-0.6913580246913581,-0.7024793388429753,-0.713396592184471,-0.7241097847158454,-0.7346189164370982,-0.7449239873482298,-0.7550249974492399,-0.7649219467401287,-0.7746148352208959,-0.7841036628915417,-0.7933884297520661,-0.8024691358024691,-0.8113457810427508,-0.820018365472911,-0.8284868890929498,-0.8367513519028671,-0.8448117539026629,-0.8526680950923375,-0.8603203754718907,-0.8677685950413223,-0.8750127538006327,-0.8820528517498214,-0.888888888888889,-0.8955208652178349,-0.9019487807366595,-0.9081726354453628,-0.9141924293439445,-0.9200081624324049,-0.9256198347107438,-0.9310274461789614,-0.9362309968370575,-0.9412304866850322,-0.9460259157228854,-0.9506172839506173,-0.9550045913682278,-0.9591878379757168,-0.9631670237730844,-0.9669421487603306,-0.9705132129374554,-0.9738802163044588,-0.9770431588613406,-0.9800020406081013,-0.9827568615447403,-0.9853076216712581,-0.9876543209876544,-0.9897969594939292,-0.9917355371900827,-0.9934700540761147,-0.9950005101520253,-0.9963269054178145,-0.9974492398734823,-0.9983675135190286,-0.9990817263544536,-0.9995918783797572,-0.9998979695949393,-1.0,RK4
y + exp(-t),1.0,1.0000508438670555,1.0002026935754407,1.0004545339996604,1.0008053602163982,1.0012541774019845,1.0018000007308931,1.0024418552752579,1.0031787759053996,1.0040098071913532,1.0049340033053835,1.005950427925481,1.007058154139828,1.0082562643522253,1.0095438501884675,1.0109200124036608,1.0123838607904727,1.0139345140883018,1.0155710998933625,1.017292754569672,1.0190986231609334,1.0209878593033017,1.0229596251390303,1.0250130912309812,1.0271474364779984,1.0293618480311282,1.0316555212106848,1.0340276594241464,1.036477474084879,1.0390041845316746,1.041607017949101,1.044285209288649,1.0470380011906741,1.0498646439071226,1.0527643952250327,1.0557365203908065,1.0587802920352423,1.0618949900993193,1.06507990176073,1.0683343213611487,1.0716575503342343,1.075048897134353,1.0785076771660194,1.0820332127140468,1.0856248328743991,1.0892818734857364,1.0930036770616516,1.0967895927235847,1.1006389761344135,1.1045511894327114,1.1085256011676647,1.1125615862346454,1.1166585258114314,1.120815807295066,1.125032824239355,1.1293089762929882,1.1336436691382872,1.1380363144305634,1.1424863297380916,1.1469931384826815,1.1515561698808496,1.1561748588855814,1.1608486461286787,1.1655769778636866,1.1703593059093946,1.175195087593904,1.1800837856992588,1.1850248684066331,1.1900178092420688,1.195062087022758,1.2001571858038669,1.2053025948258933,1.2104978084625526,1.2157423261691889,1.2210356524317023,1.226377296715993,1.2317667734179099,1.2372036018137045,1.2426873060109818,1.2482174149001448,1.2537934621063258,1.2594149859418022,1.26508152935889,1.2707926399033103,1.2765478696680244,1.2823467752475348,1.288188917692642,1.2940738624656594,1.3000011793960764,1.3059704426366674,1.311981230620042,1.3180331260156328,1.3241257156871136,1.3302585906502467,1.336431346031154,1.342643581025008,1.348894898855135,1.3551849067325343,1.3615132158157985,1.3678794411714423,HEUN
-y + cos(t),1.0,0.9898479751302166,0.9795939259278996,0.9692378680075582,0.9587798273916028,0.9482198405076924,0.9375579541850154,0.9267942256495136,0.9159287225180424,0.9049615227914719,0.8938927148467293,0.8827223974277808,0.8714506796355578,0.8600776809168245,0.8486035310519912,0.8370283701418731,0.8253523485933957,0.8135756271042485,0.8016983766464894,0.7897207784491005,0.7776430239794978,0.7654653149239946,0.7531878631672253,0.7408108907705252,0.728334629949275,0.7157593230492072,0.7030852225216799,0.6903125908979195,0.6774417007622343,0.6644728347242035,0.6514062853898419,0.6382423553317461,0.624981357058223,0.6116236129814043,0.5981694553843515,0.5846192263871532,0.5709732779120181,0.557231971647369,0.5433956790109403,0.5294647811118816,0.5154396687118735,0.5013207421852592,0.48710841147819345,0.47280309606681614,0.4584052249144542,0.44391523642785324,0.4293335784124484,0.4146607080266743,0.3998970917353215,0.3850432052619434,0.3700995335403182,0.3550665706649716,0.3399448198407645,0.324734793331551,0.3094370124079121,0.2940520072939722,0.27858031711329834,0.26302248983389587,0.24737908221229765,0.23165065973675947,0.21583779656956392,0.19994107548843754,0.18396108782709153,0.16789843341488753,0.15175372051563774,0.1355275657655437,0.11922059411028119,0.10283343874123796,0.08636674103090825,0.0698211504674554,0.053197324588443395,0.03649592891374975,0.019717636877662148,0.002863129760168226,-0.014066903382554119,-0.031071765788442507,-0.04815075306063865,-0.06530315323935887,-0.08252824687453475,-0.09982530709921733,-0.11719359970374088,-0.13463238321063176,-0.15214090895026333,-0.16971842113724012,-0.18736415694751207,-0.20507734659620436,-0.2228572134161575,-0.2407029739371721,-0.25861383796594384,-0.2765890086666888,-0.2946276826424419,-0.3127290500170289,-0.3308922945176973,-0.3491165935583992,-0.36740111832372124,-0.3857450338534463,-0.4041474991277456,-0.42260766715298703,-0.44112468504815294,-0.45969769413186023,HEUN
-2*y,-0.0,-0.020202020202020204,-0.04040404040404041,-0.06060606060606061,-0.08080808080808081,-0.10101010101010102,-0.12121212121212122,-0.14141414141414144,-0.16161616161616163,-0.18181818181818182,-0.20202020202020204,-0.22222222222222224,-0.24242424242424243,-0.26262626262626265,-0.2828282828282829,-0.30303030303030304,-0.32323232323232326,-0.3434343434343435,-0.36363636363636365,-0.38383838383838387,-0.4040404040404041,-0.42424242424242425,-0.4444444444444445,-0.4646464646464647,-0.48484848484848486,-0.5050505050505051,-0.5252525252525253,-0.5454545454545455,-0.5656565656565657,-0.5858585858585859,-0.6060606060606061,-0.6262626262626263,-0.6464646464646465,-0.6666666666666667,-0.686868686868687,-0.7070707070707072,-0.7272727272727273,-0.7474747474747475,-0.7676767676767677,-0.787878787878788,-0.8080808080808082,-0.8282828282828284,-0.8484848484848485,-0.8686868686868687,-0.888888888888889,-0.9090909090909092,-0.9292929292929294,-0.9494949494949496,-0.9696969696969697,-0.98989898989899,-1.0101010101010102,-1.0303030303030305,-1.0505050505050506,-1.0707070707070707,-1.090909090909091,-1.1111111111111112,-1.1313131313131315,-1.1515151515151516,-1.1717171717171717,-1.191919191919192,-1.2121212121212122,-1.2323232323232325,-1.2525252525252526,-1.272727272727273,-1.292929292929293,-1.3131313131313131,-1.3333333333333335,-1.3535353535353536,-1.373737373737374,-1.393939393939394,-1.4141414141414144,-1.4343434343434345,-1.4545454545454546,-1.474747474747475,-1.494949494949495,-1.5151515151515154,-1.5353535353535355,-1.5555555555555556,-1.575757575757576,-1.595959595959596,-1.6161616161616164,-1.6363636363636365,-1.6565656565656568,-1.676767676767677,-1.696969696969697,-1.7171717171717173,-1.7373737373737375,-1.7575757575757578,-1.777777777777778,-1.7979797979797982,-1.8181818181818183,-1.8383838383838385,-1.8585858585858588,-1.878787878787879,-1.8989898989898992,-1.9191919191919193,-1.9393939393939394,-1.9595959595959598,-1.97979797979798,-2.0,RK4
3*y,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.12121212121212122,0.15151515151515155,0.18181818181818182,0.21212121212121215,0.24242424242424243,0.2727272727272727,0.3030303030303031,0.33333333333333337,0.36363636363636365,0.393939393939394,0.4242424242424243,0.4545454545454546,0.48484848484848486,0.5151515151515152,0.5454545454545454,0.5757575757575758,0.6060606060606062,0.6363636363636364,0.6666666666666667,0.696969696969697,0.7272727272727273,0.7575757575757576,0.787878787878788,0.8181818181818183,0.8484848484848486,0.8787878787878788,0.9090909090909092,0.9393939393939394,0.9696969696969697,1.0,1.0303030303030305,1.0606060606060608,1.0909090909090908,1.1212121212121213,1.1515151515151516,1.1818181818181819,1.2121212121212124,1.2424242424242427,1.2727272727272727,1.3030303030303032,1.3333333333333335,1.3636363636363638,1.393939393939394,1.4242424242424243,1.4545454545454546,1.4848484848484849,1.5151515151515151,1.5454545454545459,1.575757575757576,1.606060606060606,1.6363636363636367,1.6666666666666667,1.6969696969696972,1.7272727272727275,1.7575757575757576,1.787878787878788,1.8181818181818183,1.8484848484848486,1.878787878787879,1.9090909090909094,1.9393939393939394,1.9696969696969697,2.0,2.0303030303030303,2.060606060606061,2.090909090909091,2.1212121212121215,2.151515151515152,2.1818181818181817,2.2121212121212124,2.2424242424242427,2.272727272727273,2.303030303030303,2.3333333333333335,2.3636363636363638,2.393939393939394,2.4242424242424248,2.4545454545454546,2.4848484848484853,2.5151515151515156,2.5454545454545454,2.575757575757576,2.6060606060606064,2.6363636363636367,2.666666666666667,2.6969696969696972,2.7272727272727275,2.757575757575758,2.787878787878788,2.8181818181818183,2.8484848484848486,2.878787878787879,2.909090909090909,2.9393939393939394,2.9696969696969697,3.0,RK4
-3*y,-0.0,-0.030303030303030304,-0.06060606060606061,-0.09090909090909091,-0.12121212121212122,-0.15151515151515155,-0.18181818181818182,-0.21212121212121215,-0.24242424242424243,-0.2727272727272727,-0.3030303030303031,-0.33333333333333337,-0.36363636363636365,-0.393939393939394,-0.4242424242424243,-0.4545454545454546,-0.48484848484848486,-0.5151515151515152,-0.5454545454545454,-0.5757575757575758,-0.6060606060606062,-0.6363636363636364,-0.6666666666666667,-0.696969696969697,-0.7272727272727273,-0.7575757575757576,-0.787878787878788,-0.8181818181818183,-0.8484848484848486,-0.8787878787878788,-0.9090909090909092,-0.9393939393939394,-0.9696969696969697,-1.0,-1.0303030303030305,-1.0606060606060608,-1.0909090909090908,-1.1212121212121213,-1.1515151515151516,-1.1818181818181819,-1.2121212121212124,-1.2424242424242427,-1.2727272727272727,-1.3030303030303032,-1.3333333333333335,-1.3636363636363638,-1.393939393939394,-1.4242424242424243,-1.4545454545454546,-1.4848484848484849,-1.5151515151515151,-1.5454545454545459,-1.575757575757576,-1.606060606060606,-1.6363636363636367,-1.6666666666666667,-1.6969696969696972,-1.7272727272727275,-1.7575757575757576,-1.787878787878788,-1.8181818181818183,-1.8484848484848486,-1.878787878787879,-1.9090909090909094,-1.9393939393939394,-1.9696969696969697,-2.0,-2.0303030303030303,-2.060606060606061,-2.090909090909091,-2.1212121212121215,-2.151515151515152,-2.1818181818181817,-2.2121212121212124,-2.2424242424242427,-2.272727272727273,-2.303030303030303,-2.3333333333333335,-2.3636363636363638,-2.393939393939394,-2.4242424242424248,-2.4545454545454546,-2.4848484848484853,-2.5151515151515156,-2.5454545454545454,-2.575757575757576,-2.6060606060606064,-2.6363636363636367,-2.666666666666667,-2.6969696969696972,-2.7272727272727275,-2.757575757575758,-2.787878787878788,-2.8181818181818183,-2.8484848484848486,-2.878787878787879,-2.909090909090909,-2.9393939393939394,-2.9696969696969697,-3.0,RK4
0.3*y,0.0,0.0030303030303030303,0.006060606060606061,0.00909090909090909,0.012121212121212121,0.015151515151515152,0.01818181818181818,0.021212121212121213,0.024242424242424242,0.02727272727272727,0.030303030303030304,0.03333333333333333,0.03636363636363636,0.0393939393939394,0.04242424242424243,0.045454545454545456,0.048484848484848485,0.05151515151515152,0.05454545454545454,0.05757575757575758,0.06060606060606061,0.06363636363636363,0.06666666666666667,0.0696969696969697,0.07272727272727272,0.07575757575757576,0.0787878787878788,0.08181818181818183,0.08484848484848485,0.08787878787878788,0.09090909090909091,0.09393939393939395,0.09696969696969697,0.1,0.10303030303030304,0.10606060606060608,0.10909090909090909,0.11212121212121212,0.11515151515151516,0.1181818181818182,0.12121212121212122,0.12424242424242425,0.12727272727272726,0.1303030303030303,0.13333333333333333,0.13636363636363638,0.1393939393939394,0.14242424242424243,0.14545454545454545,0.1484848484848485,0.15151515151515152,0.15454545454545457,0.1575757575757576,0.1606060606060606,0.16363636363636366,0.16666666666666666,0.1696969696969697,0.17272727272727273,0.17575757575757575,0.1787878787878788,0.18181818181818182,0.18484848484848487,0.1878787878787879,0.19090909090909094,0.19393939393939394,0.19696969696969696,0.2,0.20303030303030303,0.20606060606060608,0.2090909090909091,0.21212121212121215,0.21515151515151518,0.21818181818181817,0.22121212121212122,0.22424242424242424,0.2272727272727273,0.23030303030303031,0.23333333333333334,0.2363636363636364,0.23939393939393938,0.24242424242424243,0.24545454545454545,0.2484848484848485,0.2515151515151515,0.2545454545454545,0.25757575757575757,0.2606060606060606,0.26363636363636367,0.26666666666666666,0.2696969696969697,0.27272727272727276,0.27575757575757576,0.2787878787878788,0.2818181818181818,0.28484848484848485,0.2878787878787879,0.2909090909090909,0.29393939393939394,0.296969696969697,0.3,HEUN
-4*y,-0.0,-0.04040404040404041,-0.08080808080808081,-0.12121212121212122,-0.16161616161616163,-0.20202020202020204,-0.24242424242424243,-0.2828282828282829,-0.32323232323232326,-0.36363636363636365,-0.4040404040404041,-0.4444444444444445,-0.48484848484848486,-0.5252525252525253,-0.5656565656565657,-0.6060606060606061,-0.6464646464646465,-0.686868686868687,-0.7272727272727273,-0.7676767676767677,-0.8080808080808082,-0.8484848484848485,-0.888888888888889,-0.9292929292929294,-0.9696969696969697,-1.0101010101010102,-1.0505050505050506,-1.090909090909091,-1.1313131313131315,-1.1717171717171717,-1.2121212121212122,-1.2525252525252526,-1.292929292929293,-1.3333333333333335,-1.373737373737374,-1.4141414141414144,-1.4545454545454546,-1.494949494949495,-1.5353535353535355,-1.575757575757576,-1.6161616161616164,-1.6565656565656568,-1.696969696969697,-1.7373737373737375,-1.777777777777778,-1.8181818181818183,-1.8585858585858588,-1.8989898989898992,-1.9393939393939394,-1.97979797979798,-2.0202020202020203,-2.060606060606061,-2.101010101010101,-2.1414141414141414,-2.181818181818182,-2.2222222222222223,-2.262626262626263,-2.303030303030303,-2.3434343434343434,-2.383838383838384,-2.4242424242424243,-2.464646464646465,-2.505050505050505,-2.545454545454546,-2.585858585858586,-2.6262626262626263,-2.666666666666667,-2.707070707070707,-2.747474747474748,-2.787878787878788,-2.8282828282828287,-2.868686868686869,-2.909090909090909,-2.94949494949495,-2.98989898989899,-3.0303030303030307,-3.070707070707071,-3.111111111111111,-3.151515151515152,-3.191919191919192,-3.2323232323232327,-3.272727272727273,-3.3131313131313136,-3.353535353535354,-3.393939393939394,-3.4343434343434347,-3.474747474747475,-3.5151515151515156,-3.555555555555556,-3.5959595959595965,-3.6363636363636367,-3.676767676767677,-3.7171717171717176,-3.757575757575758,-3.7979797979797985,-3.8383838383838387,-3.878787878787879,-3.9191919191919196,-3.95959595959596,-4.0,RK4
-y + t**2,0.0,-0.009998979695949393,-0.01979389858177737,-0.02938475665748393,-0.03877155392306908,-0.047954290378532806,-0.05693296602387512,-0.06570758085909602,-0.07427813488419549,-0.08264462809917356,-0.09080706050403022,-0.09876543209876544,-0.10651974288337925,-0.11406999285787166,-0.12141618202224264,-0.1285583103764922,-0.13549637792062036,-0.1422303846546271,-0.1487603305785124,-0.15508621569227632,-0.1612080399959188,-0.16712580348943984,-0.17283950617283952,-0.17834914804611776,-0.18365472910927455,-0.18875624936230997,-0.19365370880522398,-0.19834710743801653,-0.2028364452606877,-0.20712172227323744,-0.21120293847566574,-0.21508009386797267,-0.21875318845015818,-0.22222222222222224,-0.22548719518416488,-0.22854810733598613,-0.23140495867768596,-0.23405774920926437,-0.23650647893072135,-0.23875114784205695,-0.2407917559432711,-0.24262830323436385,-0.24426078971533516,-0.24568921538618507,-0.2469135802469136,-0.24793388429752067,-0.24875012753800632,-0.24936230996837058,-0.2497704315886134,-0.24997449239873482,-0.24997449239873482,-0.2497704315886134,-0.24936230996837055,-0.24875012753800635,-0.24793388429752067,-0.24691358024691357,-0.24568921538618504,-0.24426078971533516,-0.24262830323436385,-0.24079175594327107,-0.23875114784205692,-0.23650647893072135,-0.23405774920926437,-0.2314049586776859,-0.22854810733598613,-0.22548719518416488,-0.2222222222222222,-0.21875318845015812,-0.2150800938679726,-0.21120293847566574,-0.20712172227323739,-0.20283644526068767,-0.19834710743801653,-0.19365370880522392,-0.18875624936230995,-0.1836547291092745,-0.17834914804611768,-0.1728395061728395,-0.16712580348943984,-0.16120803999591882,-0.1550862156922762,-0.14876033057851235,-0.142230384654627,-0.1354963779206203,-0.12855831037649212,-0.12141618202224258,-0.11406999285787156,-0.10651974288337918,-0.09876543209876543,-0.09080706050403009,-0.0826446280991735,-0.07427813488419543,-0.0657075808590959,-0.0569329660238751,-0.047954290378532716,-0.03877155392306897,-0.029384756657483857,-0.01979389858177727,-0.009998979695949317,0.0,MIDPOINT
-y + t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEUN
y + t,0.0,0.020202020202020204,0.04040404040404041,0.06060606060606061,0.08080808080808081,0.10101010101010102,0.12121212121212122,0.14141414141414144,0.16161616161616163,0.18181818181818182,0.20202020202020204,0.22222222222222224,0.24242424242424243,0.26262626262626265,0.2828282828282829,0.30303030303030304,0.32323232323232326,0.3434343434343435,0.36363636363636365,0.38383838383838387,0.4040404040404041,0.42424242424242425,0.4444444444444445,0.4646464646464647,0.48484848484848486,0.5050505050505051,0.5252525252525253,0.5454545454545455,0.5656565656565657,0.5858585858585859,0.6060606060606061,0.6262626262626263,0.6464646464646465,0.6666666666666667,0.686868686868687,0.7070707070707072,0.7272727272727273,0.7474747474747475,0.7676767676767677,0.787878787878788,0.8080808080808082,0.8282828282828284,0.8484848484848485,0.8686868686868687,0.888888888888889,0.9090909090909092,0.9292929292929294,0.9494949494949496,0.9696969696969697,0.98989898989899,1.0101010101010102,1.0303030303030305,1.0505050505050506,1.0707070707070707,1.090909090909091,1.1111111111111112,1.1313131313131315,1.1515151515151516,1.1717171717171717,1.191919191919192,1.2121212121212122,1.2323232323232325,1.2525252525252526,1.272727272727273,1.292929292929293,1.3131313131313131,1.3333333333333335,1.3535353535353536,1.373737373737374,1.393939393939394,1.4141414141414144,1.4343434343434345,1.4545454545454546,1.474747474747475,1.494949494949495,1.5151515151515154,1.5353535353535355,1.5555555555555556,1.575757575757576,1.595959595959596,1.6161616161616164,1.6363636363636365,1.6565656565656568,1.676767676767677,1.696969696969697,1.7171717171717173,1.7373737373737375,1.7575757575757578,1.777777777777778,1.7979797979797982,1.8181818181818183,1.8383838383838385,1.8585858585858588,1.878787878787879,1.8989898989898992,1.9191919191919193,1.9393939393939394,1.9595959595959598,1.97979797979798,2.0,RK4
-2*y + t,0.0,-0.010101010101010102,-0.020202020202020204,-0.030303030303030304,-0.04040404040404041,-0.05050505050505051,-0.06060606060606061,-0.07070707070707072,-0.08080808080808081,-0.09090909090909091,-0.10101010101010102,-0.11111111111111112,-0.12121212121212122,-0.13131313131313133,-0.14141414141414144,-0.15151515151515152,-0.16161616161616163,-0.17171717171717174,-0.18181818181818182,-0.19191919191919193,-0.20202020202020204,-0.21212121212121213,-0.22222222222222224,-0.23232323232323235,-0.24242424242424243,-0.25252525252525254,-0.26262626262626265,-0.27272727272727276,-0.2828282828282829,-0.29292929292929293,-0.30303030303030304,-0.31313131313131315,-0.32323232323232326,-0.33333333333333337,-0.3434343434343435,-0.3535353535353536,-0.36363636363636365,-0.37373737373737376,-0.38383838383838387,-0.393939393939394,-0.4040404040404041,-0.4141414141414142,-0.42424242424242425,-0.43434343434343436,-0.4444444444444445,-0.4545454545454546,-0.4646464646464647,-0.4747474747474748,-0.48484848484848486,-0.494949494949495,-0.5050505050505051,-0.5151515151515152,-0.5252525252525253,-0.5353535353535354,-0.5454545454545455,-0.5555555555555556,-0.5656565656565657,-0.5757575757575758,-0.5858585858585859,-0.595959595959596,-0.6060606060606061,-0.6161616161616162,-0.6262626262626263,-0.6363636363636365,-0.6464646464646465,-0.6565656565656566,-0.6666666666666667,-0.6767676767676768,-0.686868686868687,-0.696969696969697,-0.7070707070707072,-0.7171717171717172,-0.7272727272727273,-0.7373737373737375,-0.7474747474747475,-0.7575757575757577,-0.7676767676767677,-0.7777777777777778,-0.787878787878788,-0.797979797979798,-0.8080808080808082,-0.8181818181818182,-0.8282828282828284,-0.8383838383838385,-0.8484848484848485,-0.8585858585858587,-0.8686868686868687,-0.8787878787878789,-0.888888888888889,-0.8989898989898991,-0.9090909090909092,-0.9191919191919192,-0.9292929292929294,-0.9393939393939394,-0.9494949494949496,-0.9595959595959597,-0.9696969696969697,-0.9797979797979799,-0.98989898989899,-1.0,RK4
-y + sin(t),0.0,-1.7176748241115591e-07,-1.3741188288236839e-06,-4.637532753253015e-06,-1.0992277680435536e-05,-2.146830662805993e-05,-3.70951521210805e-05,-5.8901821149051625e-05,-8.791669017697845e-05,-0.00012516740022054662,-0.0001716807519964031,-0.00022848260115812535,-0.0002965977536286829,-0.0003770498610399242,-0.0004708613162899,-0.0005790531492285977,-0.0007026449224826481,-0.0008426546274299673,-0.001000098580334452,-0.0011759913186518145,-0.0013713454975166073,-0.0015871717864216761,-0.0018244787660999517,-0.0020842728256193765,-0.002367558059701569,-0.0026753361662744946,-0.003008606344269582,-0.0033683651916741053,-0.003755606603848549,-0.004171321672120087,-0.004616498582661943,-0.005092122515669151,-0.005599175544841073,-0.006138636537181108,-0.00671148105312297,-0.007318681246994974,-0.007961205767831492,-0.00864001966054223,-0.009356084267448939,-0.010110357130200254,-0.010903791892074244,-0.011737338200678404,-0.012611941611057664,-0.013528543489219946,-0.014488080916088886,-0.015491486591893866,-0.01653968874100714,-0.01763361101723765,-0.018774172409590673,-0.019962287148504287,-0.021198864612570423,-0.022484809235751635,-0.023821020415102145,-0.025208392419002523,-0.026647814295918115,-0.02814016978369005,-0.02968633721936731,-0.03128718944959075,-0.03294359374153699,-0.03465641169443168,-0.036426499151640424,-0.038254706113347914,-0.04014187664983271,-0.04208884881534691,-0.044096454562610354,-0.04616551965792648,-0.04829686359692964,-0.050491299520972865,-0.052749634134163115,-0.05507266762105334,-0.05746119356500057,-0.059915998867196674,-0.06243786366638138,-0.0650275612592448,-0.06768585802152838,-0.07041351332983237,-0.0732112794841362,-0.0760799016310425,-0.07902011768774964,-0.0820326582667622,-0.0851182466013477,-0.08827759847174443,-0.09151142213213159,-0.09482041823836584,-0.09820527977649429,-0.10166669199204881,-0.10520533232013096,-0.1088218703162942,-0.11251696758822838,-0.1162912777282572,-0.1201454462466518,-0.12408011050576984,-0.1280958996550261,-0.13219343456670007,-0.13637332777258915,-0.14063618340151163,-0.1449825971176686,-0.14941315605986805,-0.15392843878161921,-0.1585290151921035,MIDPOINT
cos(t)*y,0.0,0.010100494800315421,0.020197897901614543,0.030289118130623894,0.04037106536548054,0.05044065106124965,0.06049478877521673,0.07053039469187972,0.08054438814756551,0.09053369215459663,0.10049523392493236,0.11042594539321023,0.1203227637391126,0.1301826319089841,0.14000249913662483,0.14977932146318557,0.1595100622560901,0.16919169272691056,0.17882119244812203,0.1883955498686622,0.1979117628282222,0.20736683907019537,0.21675779675321058,0.22608166496117602,0.23533548421176181,0.24451630696324744,0.2536211981196617,0.2626472355341434,0.27159151051044933,0.2804511283025394,0.2892232086121651,0.2979048860843923,0.30649331080098463,0.31498564877157925,0.3233790824225822,0.3316708110837146,0.3398580514721388,0.34793803817409585,0.35590802412398304,0.3637652810808055,0.3715071001019304,0.3791307920140769,0.3866336878814742,0.39401313947111893,0.4012665197150661,0.4083912231696854,0.41538466647181826,0.42224428879176784,0.42896755228305766,0.4355519425288938,0.4419949689852643,0.4482941654206145,0.45444709035203107,0.4604513274778745,0.46630448610679515,0.472004201583071,0.47754813570820603,0.48293397715872616,0.48815944190011357,0.493222273596818,0.49812024401828486,0.5028511534409423,0.5074128310460859,0.5118031353136062,0.516019954411497,0.5200612065810911,0.5239248405179654,0.5276088357484575,0.5311112030017422,0.5344299845774093,0.5375632547084904,0.5405091199198804,0.5432657193821014,0.5458312252603548,0.5482038430588112,0.5503818119600873,0.5523634051598567,0.554146930196548,0.5557307292760784,0.5571131795915745,0.5582926936380342,0.5592677195218799,0.560036741265357,0.560598279105734,0.5609508897892552,0.5610931668598043,0.5610237409422341,0.5607412800203182,0.5602444897092845,0.5595321135228861,0.5586029331349703,0.5574557686355053,0.5560894787810238,0.554502961239447,0.5526951528292472,0.550665029752917,0.5484116078247022,0.5459339426925688,0.543231130054364,0.5403023058681398,MIDPOINT
